"kementerian_nama","program","unit_organisasi","kegiatan","unit_eselon2","fungsi","subfungsi","output_program","output","satuan","dijumlahkan","multiyears","jns_output","rab","tor","sasaran_kegiatan","sasaran_program","sasaran_strategis","suboutput","komponen","jns_komponen","type_komponen","indikasi_pbj","satuan_komponen","kewenangan","propinsi","kabupaten","nawacita","janpres","tematiks","pb","pn","pp","kp","pro_pn","pns","pps","kps","pro_pns","kerangka_regulasi","alokasi_rp","alokasi_pnbp","alokasi_blu","alokasi_pln","alokasi_rmp","alokasi_pdn","alokasi_hibah","alokasi_ph","alokasi_hn","alokasi_sbsn","alokasi_total","alokasi_1","alokasi_2","alokasi_3"
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","061-Pertimbangan Hukum/Opini Hukum terhadap Tumpang Tindih Kegiatan Usaha di Sektor Energi dan Sumber Daya Mineral","Pendukung","NON OPS","Swakelola","1 Laporan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",255019,0,0,0,0,0,0,0,0,0,255019,728045,873654,1048385
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","062-Pelayanan Kasus dan Penanganan Pengaduan Masyarakat Sektor ESDM","Utama","NON OPS","Swakelola","Kasus","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",1377456,0,0,0,0,0,0,0,0,0,1377456,3006000,3607000,4328000
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","063-Pelayanan Publikasi Peraturan PerUUan Sektor ESDM","Pendukung","NON OPS","Swakelola","Layanan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",122544,0,0,0,0,0,0,0,0,0,122544,768000,921600,1105920
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","970-Layanan Dukungan Manajemen Satker","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Manajemen Satker.pdf","TOR LAYANAN MANAJEMEN SATKER NETT.pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa Sub Output","053-Dukungan Manajemen dan Teknis Lainnya Biro Hukum ","Utama","NON OPS","Swakelola","Layanan ","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",3808713,0,0,0,0,0,0,0,0,0,3808713,4620000,5544000,6652800
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","999-Output Cadangan","1-Cadangan","false",,,"","","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa Suboutput","999-Output Cadangan",,"NON OPS",,,,"","","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","060-Penyelenggaraan Ujian Dinas dan Ujian Kenaikan Pangkat Penyesuaian Ijazah","Utama","NON OPS","Swakelola","Orang","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",240369,0,0,0,0,0,0,0,0,0,240369,264405,290846,319931
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","061-Penyertaan Asesmen","Utama","NON OPS","Swakelola","Orang","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",1088918,0,0,0,0,0,0,0,0,0,1088918,1197810,1317591,1449350
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","067-Pembinaan Disiplin Pegawai","Utama","NON OPS","Swakelola","Persen","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",305842,0,0,0,0,0,0,0,0,0,305842,336426,370069,407075
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","072-Koordinasi dan Monitoring terhadap Kepatuhan Penyampaian LHKPN","Utama","NON OPS","Swakelola","Persen","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",537641,0,0,0,0,0,0,0,0,0,537641,618287,711030,782133
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","076-Perencanaan Kebutuhan dan Pengadaan Aparatur Sipil Negara","Utama","NON OPS","Swakelola","Orang","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",1630428,0,0,0,0,0,0,0,0,0,1630428,2038035,2547543,3184430
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","077-Penyusunan Pemetaan Karir dan Pola Karir","Utama","NON OPS","Swakelola","Jabatan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",574885,0,0,0,0,0,0,0,0,0,574885,635676,699244,769168
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1881-Pembinaan dan Pengelolaan Sumber Daya Manusia","03-Biro Sumber Daya Manusia","EKONOMI","BAHAN BAKAR DAN ENERGI","01-Peningkatan kualitas pengelolaan SDM Aparatur dalam rangka peningkatan kompetensi SDM","954-Layanan manajemen Sumber Daya Manusia (SDM)","1-Layanan","false","false","Reguler Lanjutan / MYC","SIGNED & STAMPED RAB Layanan Manajemen SDM.pdf","SIGNED & STAMPED TOR Layanan Manajemen.pdf","01-Peningkatan kualitas kebijakan pengelolaan SDM Kementerian ESDM,Terwujudnya Layanan Administrasi Kepegawaian yang optimal, Perencanaan dan Pengembangan SDM yang Optimal, Manajemen Kinerja dan dukungan data kepegawaian yang berkualitasTerwujudnya ASN KESDM","08-Organisasi yang fit dan SDM yang Unggul","08-Organisasi yang Fit dan SDM yang Unggul","001-Tanpa suboutput","078-Pembinaan Tugas Belajar","Utama","NON OPS","Swakelola","Orang","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Tidak",406372,0,0,0,0,0,0,0,0,0,406372,447009,491710,540881
